Tester ID/Tester Station:RGT-3120
Computer Name           :DESKTOP-USUQBTQ
Handler/Prober Name     :UF2000
Temperature: 023.8C
Production ID           :JBS LLD 71V
Test Program Name       :C:\POWORLD\RGT.Net\Recipes\LLD_71V_Eng_Run_04302026.TestPg
Device Name             :JBS LLD 71V
Lot ID                  :N64S03A01
Wafer ID                :N64S03A01
Probe Card No           :11-02626B
Load Board No           :CP5
SFT                     :
OPERATOR                :A000697
Test Start Date         :Wed May 13 11:33:24 2026
Test End Date           :Wed May 13 11:46:52 2026
Fail Retest Rate        :
Sequence All ON         :ON
PreLoad Pat(Time)       :
Craft Current User      :
Craft Version           :
OutPut TDO              :C:\DataLog\Report\LLD_71V_Eng_Run_04302026\N64S03A_OD75um
Run Card No             :N64S03A_OD75um
Rom Code                :



 Sample   Pass   Pass%   Fail   Fail%
    549     40    7.29    509   92.71

,,,,,,Contact2[Step1],VZ[Step2],VZ[Step3],VZ[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],Calculate[Step4],VFSDS[Step5],VZ[Step6],VZ[Step6],Calculate[Step6],IR[Step7],IR[Step7],Calculate[Step7],VFSDS[Step8],IR[Step9],VZ[Step10]
,,,,,,B2_Contact2(mV),B3_VZ0@10mA(V)>=5V(V),B4_VZ0@10mA(V)>=68V(V),B5_VZ0@10mA(V)<=74V(V),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),B6_IR0@VZ0-0.8V(uA)(uA),B7_DIR0(nA)(nA),B8_VF0@50mA(mV)(mV),B9_VZ1@50mA(V)(V),B10_VZ2@5mA(V)(V),B11_DVZ(mV)(mV),B12_IR2_1@56V(uA)(uA),B13_IR2_1_1@56V(uA)(uA),B14_DIR2_1(uA)(uA),B15_VF1@260mA(mV)(mV),B16_IR2_2@56V(uA)(uA),B17_VZ3@30mA(V)(V)
,,,,,,10,90,90,74,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,999,395,74,74,400,9.9,9.9,2000000,440,10,74
,,,,,,0,5,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,68,68,0,0,0,-2000000,280,0,68
Serial#,Site#,Bin#,SBin#,XAdr,YAdr
1,1,5,11,16,7,3.6138,68.295,68.301,68.304,84.201,45.214,71.327,52.861,86.057,100.01,96.082,68.864,9.7922,67.892,100.01,99.736,68.143,58.97,59.249,100.01,100.01,81.081,53.894,79.342,9.6886,38986.88,264.3,68.23,67.902,327.61,6.8369,6.8343,0.0025,311.5,6.6084,68.654
2,1,1,1,17,7,3.5685,70.853,70.858,70.86,10.601,10.603,10.567,10.55,10.518,10.551,10.519,10.519,10.592,10.522,10.556,10.522,10.561,10.562,10.601,10.523,10.612,10.573,10.561,10.563,10.597,1.4206,264.5,70.765,70.548,217.93,6.6809,6.6791,0.0018,311.77,6.46,71.133
3,1,1,1,18,7,3.6927,71.999,72.005,72.006,10.909,10.893,10.887,10.884,10.884,10.885,10.885,10.885,10.886,10.887,10.887,10.888,10.889,10.889,10.889,10.888,10.89,10.891,10.89,10.89,10.891,16.435,264.82,71.93,71.817,112.23,6.5689,6.5666,0.0023,312.12,6.3501,72.174
4,1,1,1,19,7,3.6486,72.397,72.401,72.401,10.962,10.946,10.941,10.939,10.939,10.939,10.941,10.942,10.941,10.942,10.944,10.944,10.944,10.944,10.944,10.945,10.946,10.946,10.946,10.946,10.948,15.544,265.05,72.363,72.335,27.771,6.4847,6.4829,0.0018,312.35,6.2696,72.565
5,1,1,1,20,7,3.5906,72.387,72.39,72.392,10.89,10.87,10.862,10.86,10.86,10.86,10.86,10.859,10.861,10.861,10.861,10.862,10.862,10.862,10.863,10.865,10.862,10.864,10.865,10.865,10.865,19.631,265.28,72.373,72.326,47.073,6.4345,6.4326,0.0019,312.72,6.2235,72.561
6,1,1,1,21,7,3.6419,72.034,72.041,72.039,10.744,10.723,10.717,10.715,10.713,10.714,10.714,10.714,10.714,10.715,10.716,10.717,10.718,10.718,10.717,10.717,10.718,10.719,10.719,10.719,10.72,20.81,265.39,71.974,71.866,108.8,6.4415,6.4395,0.002,312.96,6.2312,72.198
7,1,1,1,22,7,3.7667,71.069,71.073,71.078,10.385,10.369,10.404,10.359,10.36,10.36,10.36,10.361,10.362,10.363,10.363,10.363,10.362,10.363,10.364,10.365,10.365,10.366,10.366,10.366,10.367,16.426,265.41,70.985,70.798,187.15,6.4938,6.4914,0.0024,312.78,6.285,71.324
8,1,5,9,23,7,3.7814,68.881,68.886,68.891,69.617,29.083,89.886,92.059,25.88,9.6488,100.01,43.717,70.082,67.928,90.944,80.289,95.094,71.496,79.602,9.9034,85.548,69.516,42.764,52.408,93.406,40533.64,265.29,68.807,68.489,318.02,6.6226,6.6188,0.0037,312.72,6.4147,69.214
9,1,5,11,25,8,3.6244,71.134,71.141,71.143,10.298,10.282,10.275,10.271,21.076,91.5,10.396,10.515,98.817,10.372,10.279,89.652,10.287,10.281,10.278,10.277,71.237,99.365,99.104,10.51,10.287,15.441,265.65,71.011,70.743,268.55,6.4242,6.4212,0.003,313.01,6.2183,71.439
10,1,1,1,24,8,3.6957,73.158,73.165,73.165,11.024,11.007,10.998,10.994,10.993,11.024,11.028,10.993,10.994,10.995,10.994,10.995,10.996,10.996,10.995,10.997,10.998,10.997,10.996,10.998,10.998,16.978,265.89,73.045,72.912,133.9,6.2744,6.2729,0.0015,313.33,6.0729,73.368
11,1,5,5,23,8,3.7644,74.048,74.049,74.059,11.452,11.434,11.427,11.424,11.424,11.422,11.422,11.423,11.424,11.425,11.425,11.426,11.426,11.426,11.426,11.427,11.428,11.429,11.428,11.428,11.429,18.476,265.75,73.96,73.871,89.569,6.2559,6.2543,0.0016,313.18,6.057,74.187
12,1,5,5,22,8,3.7296,74.454,74.457,74.458,11.648,11.628,11.62,11.616,11.615,11.615,11.616,11.616,11.615,11.618,11.619,11.618,11.618,11.618,11.619,11.619,11.62,11.621,11.621,11.621,11.62,20.772,265.67,74.409,74.358,50.659,6.2445,6.2427,0.0018,313.13,6.0456,74.596
13,1,5,5,21,8,3.7701,74.659,74.661,74.663,11.788,11.766,11.754,11.749,11.746,11.744,11.744,11.745,11.746,11.746,11.745,11.746,11.746,11.747,11.747,11.747,11.747,11.748,11.748,11.747,11.748,22.116,265.6,74.598,74.591,7.3242,6.2525,6.2503,0.0022,313.31,6.0562,74.796
14,1,5,5,20,8,3.7732,74.763,74.769,74.77,11.874,11.853,11.847,11.843,11.841,11.84,11.84,11.84,11.841,11.843,11.844,11.844,11.844,11.843,11.844,11.846,11.845,11.846,11.846,11.847,11.848,21.13,265.48,74.698,74.716,18.326,6.2671,6.265,0.0021,312.89,6.072,74.902
15,1,5,5,19,8,3.7878,74.75,74.753,74.753,11.967,11.947,11.939,11.936,11.935,11.934,11.935,11.936,11.935,11.936,11.938,11.938,11.938,11.938,11.939,11.939,11.938,11.939,11.94,11.94,11.939,19.922,265.09,74.689,74.678,11.292,6.3318,6.3299,0.0019,312.44,6.1385,74.888
16,1,5,5,18,8,3.7356,74.663,74.666,74.671,11.974,11.954,11.947,11.944,11.943,11.942,11.942,11.944,11.944,11.945,11.946,11.946,11.946,11.947,11.947,11.947,11.947,11.947,11.948,11.949,11.949,19.919,264.95,74.603,74.611,7.8583,6.3681,6.3663,0.0018,312.23,6.1762,74.817
17,1,5,5,17,8,3.7406,74.493,74.499,74.5,12.11,12.09,12.082,12.079,12.077,12.076,12.076,12.077,12.078,12.078,12.078,12.08,12.08,12.079,12.081,12.081,12.082,12.082,12.08,12.08,12.082,20.067,264.64,74.407,74.338,68.512,6.4726,6.4701,0.0025,311.9,6.2821,74.67
18,1,17,37,16,8,3.7965,73.997,74.002,74.004,11.844,11.825,11.818,11.813,11.81,11.81,11.821,11.8,11.781,11.812,11.842,11.824,11.815,11.813,11.813,11.814,11.814,11.814,11.814,11.813,11.814,19.209,264.61,73.899,73.803,96.359,6.4998,6.4972,0.0026,312.03,6.3106,74.169
19,1,1,1,15,8,3.7884,73.01,73.012,73.013,11.64,11.623,11.615,11.614,11.611,11.612,11.612,11.614,11.615,11.617,11.617,11.616,11.617,11.618,11.617,11.618,11.618,11.618,11.619,11.669,11.62,17.461,264.5,72.891,72.743,148.1,6.6387,6.6367,0.0021,311.71,6.4501,73.232
20,1,1,1,14,8,3.7595,70.769,70.772,70.776,10.73,10.631,10.746,10.712,10.705,10.616,10.616,10.617,10.618,10.618,10.618,10.699,10.62,10.621,10.622,10.62,10.621,10.621,10.623,10.713,10.623,98.834,264.32,70.65,70.359,291.08,6.7409,6.7383,0.0026,311.65,6.5539,71.094
21,1,5,6,12,9,3.7254,69.596,69.603,69.605,100.01,70.35,100.01,96.933,98.306,74.646,92.07,100.01,100.01,100.01,100.01,80.479,94.569,83.607,86.681,100.01,61.354,100.01,85.388,66.005,92.464,29656.26,264.59,69.485,69.127,358.7,6.7236,6.7198,0.0038,311.93,6.5308,69.975
22,1,1,1,13,9,3.789,73.051,73.057,73.059,11.469,11.491,11.504,11.441,11.442,11.551,11.443,11.442,11.583,11.516,11.481,11.483,11.48,11.624,11.517,11.443,11.536,11.445,11.443,11.446,11.555,22.809,264.89,72.925,72.762,162.14,6.5229,6.5213,0.0016,312.21,6.3363,73.294
23,1,5,5,14,9,3.8128,74.279,74.285,74.287,12.023,12.001,11.991,11.987,11.984,11.986,11.983,11.984,11.985,11.984,11.985,11.985,11.986,11.986,11.988,11.988,11.986,11.987,11.988,11.989,11.988,21.728,264.82,74.174,74.088,85.526,6.4682,6.4662,0.002,312.2,6.2822,74.466
24,1,5,5,15,9,3.7347,74.825,74.826,74.829,12.334,12.314,12.305,12.3,12.299,12.299,12.298,12.298,12.302,12.3,12.301,12.302,12.303,12.302,12.302,12.304,12.303,12.303,12.304,12.304,12.303,19.803,264.5,74.737,74.689,47.684,6.4599,6.4584,0.0015,311.84,6.2758,74.964
25,1,5,5,16,9,3.7099,75.034,75.045,75.046,12.693,12.673,12.662,12.659,12.656,12.655,12.655,12.655,12.654,12.656,12.656,12.657,12.658,12.658,12.658,12.657,12.658,12.66,12.658,12.659,12.658,19.915,264.53,74.991,75.001,10.689,6.5045,6.5035,0.001,311.91,6.3215,75.126
26,1,5,5,17,9,3.7592,75.095,75.1,75.103,12.612,12.592,12.584,12.578,12.576,12.577,12.577,12.577,12.578,12.579,12.579,12.579,12.579,12.579,12.581,12.581,12.58,12.581,12.581,12.581,12.582,19.983,264.59,75.154,75.079,75.607,6.4435,6.4415,0.0019,311.98,6.2614,75.145
27,1,5,5,18,9,3.7725,75.081,75.08,75.08,12.366,12.346,12.335,12.332,12.33,12.332,12.332,12.332,12.33,12.331,12.332,12.333,12.332,12.334,12.335,12.334,12.334,12.335,12.336,12.336,12.336,19.827,264.72,75.083,75.159,75.607,6.3825,6.3806,0.0018,312,6.1999,75.122
28,1,5,5,19,9,3.7871,75.064,75.075,75.066,12.384,12.362,12.351,12.346,12.344,12.343,12.344,12.345,12.345,12.346,12.346,12.346,12.346,12.347,12.348,12.348,12.349,12.348,12.348,12.349,12.35,22.344,264.77,75.109,75.089,20.523,6.3883,6.3864,0.0018,312.09,6.206,75.109
29,1,5,5,20,9,3.7517,75.055,75.06,75.062,12.287,12.265,12.255,12.251,12.25,12.25,12.251,12.25,12.25,12.251,12.253,12.253,12.252,12.275,12.254,12.254,12.255,12.255,12.254,12.254,12.254,22.728,264.95,75.104,75.08,23.727,6.3306,6.3292,0.0013,312.42,6.1501,75.085
30,1,5,5,21,9,3.7304,75.051,75.049,75.049,12.217,12.196,12.186,12.182,12.179,12.18,12.179,12.18,12.18,12.181,12.182,12.182,12.182,12.183,12.184,12.183,12.183,12.183,12.183,12.183,12.183,21.018,265.16,75.044,75.058,13.504,6.3011,6.2995,0.0016,312.59,6.1217,75.095
31,1,5,5,22,9,3.6693,75.048,75.049,75.049,12.165,12.143,12.133,12.128,12.127,12.126,12.126,12.126,12.126,12.126,12.126,12.127,12.129,12.129,12.129,12.129,12.129,12.129,12.13,12.131,12.152,22.025,265.31,75.049,75.091,42.496,6.28,6.2781,0.0018,312.76,6.1006,75.098
32,1,5,5,23,9,3.762,75.043,75.043,75.047,12.269,12.248,12.239,12.236,12.233,12.233,12.233,12.234,12.235,12.235,12.235,12.236,12.236,12.237,12.236,12.237,12.237,12.238,12.237,12.238,12.238,21.137,265.4,75.012,74.984,28.175,6.2798,6.2782,0.0016,312.8,6.1029,75.091
33,1,5,5,24,9,3.7418,74.811,74.81,74.818,11.846,11.825,11.815,11.81,11.809,11.809,11.809,11.808,11.808,11.808,11.809,11.811,11.81,11.811,11.811,11.811,11.812,11.812,11.813,11.812,11.813,20.256,265.85,74.761,74.731,30.136,6.1937,6.1922,0.0015,313.33,6.0175,74.928
34,1,5,5,25,9,3.8164,74.339,74.343,74.346,11.611,11.599,11.582,11.579,11.577,11.575,11.576,11.577,11.576,11.577,11.579,11.579,11.579,11.578,11.578,11.581,11.579,11.579,11.58,11.58,11.58,11.664,265.92,74.252,74.178,73.547,6.2178,6.216,0.0018,313.38,6.0419,74.492
35,1,1,1,26,9,3.78,73.25,73.252,73.255,11.713,11.693,11.684,11.737,11.68,11.679,11.679,11.68,11.68,11.681,11.732,11.729,11.682,11.682,11.683,11.685,11.685,11.684,11.683,11.685,11.685,19.625,265.7,73.12,72.969,150.92,6.5619,6.5601,0.0018,313.17,6.3848,73.474
36,1,5,7,27,9,3.7199,70.145,70.15,70.151,55.67,94.792,100.01,67.658,10.299,10.147,10.143,10.141,10.14,10.139,10.139,10.139,45.305,93.318,10.157,10.411,71.16,98.555,90.591,92.748,24.575,39121.29,265.15,70.019,69.685,333.81,6.5889,6.5858,0.0031,312.46,6.4107,70.504
37,1,5,8,28,10,3.7515,71.649,71.657,71.659,68.242,80.057,100.01,10.82,10.928,100.01,10.811,10.688,10.684,10.683,10.684,34.8,66.358,63.122,10.939,82.899,80.964,91.089,86.114,84.353,10.892,11815.48,265.28,71.499,71.246,252.23,6.4896,6.4866,0.003,312.63,6.3129,71.959
38,1,17,37,27,10,3.7581,73.95,73.955,73.956,11.636,11.617,11.607,11.604,11.603,11.627,11.602,11.602,11.603,11.604,11.604,11.605,11.605,11.604,11.604,11.604,11.605,11.606,11.607,11.606,11.607,18.806,265.42,73.832,73.725,106.9,6.3405,6.339,0.0016,312.79,6.1672,74.138
39,1,5,5,26,10,3.753,74.742,74.742,74.747,11.971,11.949,11.939,11.935,11.93,11.932,11.932,11.932,11.931,11.93,11.931,11.931,11.933,11.932,11.933,11.934,11.933,11.935,11.933,11.934,11.934,22.287,265.6,74.662,74.654,8.7738,6.2623,6.2607,0.0017,313.03,6.0879,74.852
40,1,5,5,25,10,3.8239,74.947,74.947,74.947,12.122,12.103,12.093,12.089,12.087,12.085,12.086,12.086,12.087,12.088,12.087,12.088,12.088,12.088,12.089,12.089,12.09,12.089,12.089,12.088,12.089,18.917,265.47,74.976,74.966,9.758,6.2647,6.2626,0.0021,312.88,6.093,75.002
41,1,5,5,24,10,3.7289,74.925,74.93,74.929,12.196,12.174,12.165,12.16,12.159,12.158,12.158,12.159,12.159,12.158,12.159,12.161,12.161,12.161,12.161,12.161,12.161,12.163,12.163,12.161,12.162,22.146,265.29,74.98,74.887,92.102,6.2852,6.2834,0.0018,312.74,6.1125,74.975
42,1,5,5,23,10,3.7596,74.837,74.838,74.842,12.348,12.325,12.313,12.31,12.309,12.308,12.308,12.308,12.308,12.308,12.31,12.311,12.312,12.311,12.311,12.31,12.312,12.312,12.312,12.312,12.312,23.086,264.91,74.809,74.975,165.5,6.3685,6.3666,0.0019,312.22,6.1954,74.905
43,1,5,5,22,10,3.7528,74.763,74.766,74.771,12.3,12.279,12.27,12.266,12.264,12.263,12.264,12.265,12.265,12.266,12.266,12.266,12.267,12.267,12.266,12.268,12.269,12.269,12.267,12.269,12.269,20.89,264.92,74.735,74.778,42.496,6.3572,6.3553,0.002,312.21,6.1867,74.846
44,1,5,5,21,10,3.8447,74.729,74.734,74.731,12.316,12.294,12.285,12.283,12.282,12.282,12.283,12.284,12.284,12.284,12.283,12.285,12.285,12.284,12.285,12.286,12.285,12.287,12.286,12.286,12.286,22.095,264.86,74.702,74.739,36.697,6.3665,6.3646,0.0019,312.2,6.1955,74.801
45,1,5,5,20,10,3.8089,74.723,74.726,74.716,12.336,12.315,12.307,12.304,12.303,12.303,12.303,12.305,12.305,12.306,12.307,12.307,12.306,12.306,12.307,12.305,12.306,12.307,12.307,12.306,12.305,20.884,264.81,74.692,74.714,22.751,6.3706,6.37,0.0006,312.18,6.2034,74.787
46,1,5,5,19,10,3.7709,74.732,74.735,74.731,12.435,12.413,12.404,12.401,12.4,12.4,12.4,12.4,12.401,12.402,12.403,12.402,12.403,12.404,12.403,12.403,12.404,12.405,12.405,12.405,12.405,22.087,264.55,74.708,74.75,42.572,6.4305,6.429,0.0015,311.89,6.2609,74.805
47,1,5,5,18,10,3.7784,74.774,74.777,74.779,12.612,12.59,12.58,12.576,12.573,12.573,12.574,12.575,12.574,12.575,12.577,12.578,12.578,12.577,12.577,12.578,12.577,12.578,12.578,12.578,12.577,21.304,264.65,74.756,74.782,26.169,6.4454,6.4437,0.0017,311.97,6.2755,74.849
48,1,5,5,17,10,3.7703,74.842,74.849,74.846,12.569,12.546,12.535,12.531,12.529,12.528,12.529,12.529,12.53,12.529,12.529,12.529,12.53,12.531,12.532,12.531,12.531,12.532,12.534,12.533,12.533,22.967,264.6,74.837,74.847,10.452,6.4299,6.428,0.0019,311.97,6.2616,74.919
49,1,5,5,16,10,3.8036,74.937,74.941,74.936,12.567,12.544,12.535,12.532,12.53,12.529,12.529,12.528,12.53,12.529,12.53,12.53,12.531,12.532,12.532,12.531,12.531,12.531,12.533,12.533,12.532,22.33,264.49,74.908,74.951,42.191,6.4511,6.4498,0.0013,311.77,6.2828,74.999
50,1,5,5,15,10,3.7366,75.028,75.013,75.018,12.657,12.634,12.622,12.617,12.614,12.613,12.614,12.614,12.615,12.615,12.615,12.615,12.616,12.617,12.616,12.617,12.617,12.617,12.618,12.617,12.617,22.897,264.38,75.028,75.038,9.9945,6.484,6.4822,0.0018,311.81,6.3156,75.064
51,1,5,5,14,10,3.8329,75.002,75.008,75.01,12.494,12.472,12.462,12.457,12.454,12.454,12.453,12.452,12.453,12.455,12.454,12.454,12.454,12.454,12.455,12.456,12.456,12.456,12.456,12.457,12.457,21.724,264.72,74.973,75.142,169.64,6.4234,6.4218,0.0016,312.17,6.256,75.076
52,1,5,5,13,10,3.7633,74.712,74.724,74.728,13.301,13.279,13.268,13.257,13.255,13.26,13.261,13.259,13.26,13.258,13.255,13.255,13.257,13.258,13.265,13.263,13.261,13.261,13.261,13.262,13.263,22.091,264.98,74.637,74.579,58.441,6.692,6.6912,0.0009,312.46,6.5247,74.856
53,1,17,37,12,10,3.7688,73.844,73.848,73.852,12.15,12.134,12.125,12.124,12.121,12.152,12.118,12.122,12.122,12.123,12.123,12.123,12.124,12.126,12.126,12.127,12.126,12.126,12.126,12.123,12.123,16.595,265.14,73.72,73.61,110.32,6.5511,6.5491,0.0021,312.61,6.3831,74.039
54,1,5,6,11,10,3.7246,71.224,71.231,71.232,93.59,58.761,11.289,11.506,37.412,94.336,11.558,45.504,79.013,11.775,100.01,11.723,11.408,80.587,11.387,83.257,11.794,82.994,27.805,11.401,74.709,34829.49,265.28,71.085,70.795,290,6.7735,6.7705,0.0029,312.68,6.6052,71.553
55,1,5,27,10,11,3.7654,71.537,71.544,71.545,84.714,10.795,10.78,10.772,10.769,10.769,10.877,10.77,10.77,10.77,10.769,10.997,10.77,10.77,10.77,10.773,10.868,10.771,10.773,10.772,10.771,73919.24,265.73,71.385,71.113,271.8,6.5045,6.5013,0.0032,313.26,6.3381,71.858
56,1,5,5,11,11,3.7514,74.103,74.106,74.108,12.249,12.231,12.222,12.219,12.217,12.216,12.216,12.217,12.219,12.219,12.221,12.218,12.219,12.22,12.22,12.22,12.219,12.22,12.22,12.221,12.222,17.732,265.63,73.99,73.896,93.544,6.4408,6.4394,0.0014,313.16,6.2751,74.276
