Tester ID/Tester Station:RGT-3120
Computer Name           :DESKTOP-USUQBTQ
Handler/Prober Name     :UF2000
Temperature: 023.8C
Production ID           :JBS LLD 71V
Test Program Name       :C:\POWORLD\RGT.Net\Recipes\LLD_71V_Eng_Run_04302026.TestPg
Device Name             :JBS LLD 71V
Lot ID                  :N64S03A03
Wafer ID                :N64S03A03
Probe Card No           :11-02626B
Load Board No           :CP5
SFT                     :
OPERATOR                :A000697
Test Start Date         :Wed May 13 12:03:20 2026
Test End Date           :Wed May 13 12:16:48 2026
Fail Retest Rate        :
Sequence All ON         :ON
PreLoad Pat(Time)       :
Craft Current User      :
Craft Version           :
OutPut TDO              :C:\DataLog\Report\LLD_71V_Eng_Run_04302026\N64S03A_OD75um
Run Card No             :N64S03A_OD75um
Rom Code                :



 Sample   Pass   Pass%   Fail   Fail%
    549     28     5.1    521    94.9

,,,,,,Contact2[Step1],VZ[Step2],VZ[Step3],VZ[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],Calculate[Step4],VFSDS[Step5],VZ[Step6],VZ[Step6],Calculate[Step6],IR[Step7],IR[Step7],Calculate[Step7],VFSDS[Step8],IR[Step9],VZ[Step10]
,,,,,Range,99.999m,99.999,99.999,99.999,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,99.999u,,999.99m,99.999,99.999,,9.9999u,9.9999u,,999.99m,99.999u,99.999
,,,,,,Contact2[Step1],VZ[Step2],VZ[Step3],VZ[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],Calculate[Step4],VFSDS[Step5],VZ[Step6],VZ[Step6],Calculate[Step6],IR[Step7],IR[Step7],Calculate[Step7],VFSDS[Step8],IR[Step9],VZ[Step10]
,,,,,,B2_Contact2(mV),B3_VZ0@10mA(V)>=5V(V),B4_VZ0@10mA(V)>=68V(V),B5_VZ0@10mA(V)<=74V(V),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),B6_IR0@VZ0-0.8V(uA)(uA),B7_DIR0(nA)(nA),B8_VF0@50mA(mV)(mV),B9_VZ1@50mA(V)(V),B10_VZ2@5mA(V)(V),B11_DVZ(mV)(mV),B12_IR2_1@56V(uA)(uA),B13_IR2_1_1@56V(uA)(uA),B14_DIR2_1(uA)(uA),B15_VF1@260mA(mV)(mV),B16_IR2_2@56V(uA)(uA),B17_VZ3@30mA(V)(V)
,,,,,,10,90,90,74,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,999,395,74,74,400,9.9,9.9,2000000,440,10,74
,,,,,,0,5,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,68,68,0,0,0,-2000000,280,0,68
Serial#,Site#,Bin#,SBin#,XAdr,YAdr
1,1,1,1,16,7,3.9836,69.393,69.401,69.404,10.281,10.085,10.166,10.077,10.074,10.38,10.166,10.076,10.197,10.077,10.078,10.077,10.077,10.078,10.078,10.078,10.078,10.08,10.081,10.08,10.362,195.6,264.3,69.306,68.997,309.47,6.8157,6.8133,0.0023,311.58,6.6175,69.736
2,1,12,32,17,7,3.9893,71.66,71.662,71.666,40.734,40.817,40.822,40.788,40.725,40.904,40.784,40.871,40.874,40.882,40.976,40.871,40.831,40.833,40.888,40.899,40.867,40.914,40.879,40.865,40.833,83.051,264.31,71.559,71.375,184.18,10.001,10.001,0,311.6,24.468,71.924
3,1,1,1,18,7,3.9026,72.72,72.715,72.724,11.357,11.337,11.33,11.327,11.326,11.325,11.325,11.326,11.328,11.328,11.327,11.328,11.329,11.329,11.33,11.33,11.33,11.331,11.331,11.332,11.332,19.953,264.44,72.639,72.537,101.42,6.6433,6.6411,0.0023,311.77,6.4536,72.882
4,1,1,1,19,7,3.8609,73.09,73.093,73.097,12.309,12.29,12.282,12.278,12.276,12.278,12.282,12.281,12.281,12.283,12.283,12.286,12.282,12.283,12.283,12.282,12.284,12.284,12.283,12.286,12.286,18.764,264.65,73.053,73.034,18.768,6.8701,6.8679,0.0022,311.94,6.6836,73.257
5,1,1,1,20,7,4.1115,73.112,73.117,73.12,13.307,13.285,13.276,13.268,13.267,13.268,13.264,13.264,13.262,13.264,13.267,13.266,13.266,13.266,13.264,13.263,13.266,13.266,13.266,13.266,13.266,21.85,264.72,73.071,73.066,5.188,7.0839,7.0802,0.0037,312.14,6.8991,73.288
6,1,1,1,21,7,3.8148,72.834,72.831,72.834,11.646,11.621,11.613,11.611,11.612,11.61,11.608,11.608,11.614,11.61,11.61,11.611,11.612,11.612,11.611,11.611,11.611,11.612,11.614,11.614,11.613,24.288,264.79,72.764,72.674,90.103,6.6677,6.666,0.0016,312.35,6.4858,72.983
7,1,1,1,22,7,3.8844,71.977,71.986,71.985,10.969,10.95,10.941,10.938,10.938,10.937,10.936,10.936,10.938,10.939,10.939,10.938,10.939,10.939,10.94,10.94,10.94,10.941,10.942,10.942,10.963,19.693,264.84,71.879,71.72,159.09,6.6213,6.6191,0.0022,312.37,6.4409,72.208
8,1,5,9,23,7,3.9681,69.971,69.98,69.981,37.004,25.167,83.641,94.945,49.144,31.825,42.117,10.292,10.293,10.42,10.399,10.393,10.285,10.284,10.284,10.284,10.285,10.286,10.286,10.285,95.465,11836.4,264.82,69.874,69.586,288.28,6.7633,6.7599,0.0034,312.21,6.5819,70.299
9,1,5,8,25,8,3.9047,71.985,71.993,71.994,65.181,54.661,100.01,10.852,85.932,81.357,21.768,58.78,10.847,100.01,10.85,16.317,82.512,19.479,44.753,14.47,10.842,18.691,47.989,60.844,93.591,10520.25,265.01,71.842,71.602,240.05,6.5655,6.5626,0.0029,312.38,6.3862,72.289
10,1,17,37,24,8,3.8129,73.901,73.911,73.913,11.629,11.609,11.599,11.594,11.593,11.591,11.591,11.592,11.631,11.591,11.592,11.592,11.594,11.593,11.593,11.594,11.595,11.594,11.595,11.595,11.595,20.209,265.01,73.773,73.664,108.66,6.451,6.4487,0.0024,312.53,6.2757,74.105
11,1,5,5,23,8,3.813,74.734,74.736,74.73,13.72,13.698,13.695,13.682,13.679,13.685,13.68,13.681,13.693,13.694,13.694,13.683,13.698,13.715,13.721,13.71,13.707,13.707,13.725,13.708,13.718,22.457,265.06,74.627,74.563,64.392,7.013,7.0113,0.0017,312.41,6.8381,74.871
12,1,5,5,22,8,3.7972,75.096,75.097,75.098,12.678,12.656,12.646,12.645,12.644,12.643,12.642,12.639,12.642,12.644,12.643,12.641,12.642,12.643,12.643,12.646,12.645,12.646,12.647,12.647,12.647,22.458,264.99,75.034,75.012,21.957,6.4987,6.4969,0.0018,312.5,6.3257,75.239
13,1,5,5,21,8,3.7312,75.272,75.276,75.28,16.868,16.792,16.818,16.816,16.839,16.856,16.863,16.862,16.8,16.827,16.834,16.863,16.836,16.859,16.855,16.862,16.883,16.84,16.888,16.882,16.847,76.097,264.91,75.214,75.2,14.114,7.3361,7.3341,0.0019,312.71,7.1626,75.406
14,1,5,5,20,8,3.8293,75.346,75.349,75.352,14.532,14.511,14.498,14.495,14.492,14.493,14.491,14.495,14.491,14.496,14.495,14.495,14.49,14.497,14.493,14.496,14.498,14.494,14.492,14.495,14.493,20.529,264.79,75.265,75.256,9.3842,7.0119,7.0102,0.0017,312.2,6.8399,75.481
15,1,5,5,19,8,3.8428,75.28,75.281,75.282,13.071,13.046,13.037,13.032,13.031,13.031,13.031,13.029,13.032,13.034,13.034,13.036,13.037,13.037,13.036,13.038,13.039,13.039,13.039,13.036,13.039,24.386,264.63,75.213,75.217,3.2043,6.5822,6.58,0.0022,311.91,6.4133,75.418
16,1,5,5,18,8,3.8223,75.202,75.208,75.208,12.678,12.655,12.646,12.642,12.641,12.64,12.64,12.641,12.643,12.642,12.641,12.642,12.642,12.644,12.644,12.643,12.645,12.644,12.644,12.644,12.645,23.02,264.53,75.139,75.134,5.188,6.5395,6.5378,0.0017,311.84,6.3716,75.351
17,1,5,5,17,8,3.7785,75.005,75.009,75.01,12.365,12.344,12.333,12.327,12.327,12.327,12.327,12.327,12.328,12.329,12.329,12.328,12.329,12.329,12.33,12.331,12.331,12.332,12.332,12.332,12.33,21.515,264.35,74.924,74.856,67.825,6.5178,6.5158,0.002,311.71,6.3495,75.176
18,1,5,5,16,8,3.7372,74.511,74.509,74.512,12.158,12.136,12.127,12.123,12.121,12.121,12.12,12.12,12.122,12.121,12.122,12.121,12.122,12.123,12.123,12.123,12.123,12.124,12.124,12.124,12.123,21.676,264.25,74.415,74.339,75.378,6.5624,6.5605,0.0019,311.63,6.3953,74.664
19,1,1,1,15,8,3.9874,73.623,73.63,73.631,11.794,11.784,11.766,11.776,11.761,11.761,11.762,11.761,11.76,11.761,11.762,11.763,11.764,11.763,11.764,11.764,11.764,11.765,11.764,11.776,11.763,9.9981,264.28,73.498,73.374,124.06,6.6161,6.6138,0.0023,311.61,6.4493,73.838
20,1,1,1,14,8,3.7546,71.62,71.628,71.627,10.92,10.904,10.896,10.892,10.89,10.972,10.982,10.892,10.981,10.892,10.892,10.893,10.893,10.986,10.997,10.999,10.896,10.897,11.024,10.895,10.896,16.402,264.53,71.486,71.231,254.67,6.6809,6.6786,0.0023,311.76,6.5151,71.936
21,1,2,2,12,9,17.315,70.512,70.519,70.52,79.177,43.965,78.582,47.268,79.186,90.109,61.635,10.328,81.42,10.325,80.552,20.748,10.314,92.48,38.455,97.509,30.904,86.186,100.01,70.046,61.102,35211.8,264.99,70.376,70.019,357.32,6.621,6.6174,0.0036,312.53,6.4525,70.899
22,1,1,1,13,9,3.8855,73.605,73.612,73.616,11.48,11.465,11.454,11.471,11.449,11.449,11.448,11.448,11.449,11.45,11.482,11.45,11.451,11.492,11.452,11.452,11.452,11.451,11.451,11.452,11.452,15.831,265.26,73.467,73.325,142.44,6.4167,6.4143,0.0024,312.64,6.2532,73.836
23,1,5,5,14,9,3.8155,74.737,74.75,74.744,12.069,12.047,12.037,12.032,12.031,12.03,12.029,12.029,12.03,12.03,12.03,12.032,12.03,12.031,12.033,12.033,12.033,12.033,12.032,12.032,12.033,21.361,264.89,74.641,74.564,76.447,6.4118,6.4101,0.0016,312.32,6.2481,74.909
24,1,5,5,15,9,3.7765,75.219,75.222,75.223,12.509,12.487,12.476,12.471,12.468,12.468,12.468,12.468,12.468,12.467,12.469,12.469,12.469,12.468,12.468,12.469,12.47,12.47,12.471,12.471,12.471,22.437,264.31,75.157,75.212,54.855,6.5001,6.4982,0.0019,311.66,6.3376,75.332
25,1,5,5,16,9,3.8271,75.427,75.435,75.44,12.638,12.613,12.599,12.595,12.592,12.593,12.593,12.592,12.59,12.592,12.592,12.593,12.593,12.593,12.593,12.594,12.593,12.593,12.595,12.595,12.595,24.916,264.28,75.378,75.376,2.7466,6.4887,6.4863,0.0023,311.54,6.3261,75.533
26,1,5,5,17,9,3.8256,75.548,75.553,75.554,12.708,12.684,12.672,12.668,12.667,12.666,12.665,12.664,12.667,12.667,12.668,12.667,12.668,12.669,12.669,12.667,12.668,12.669,12.669,12.669,12.669,24.472,264.25,75.515,75.497,18.463,6.4764,6.4743,0.0021,311.55,6.3144,75.583
27,1,5,5,18,9,3.83,75.536,75.54,75.538,12.828,12.805,12.794,12.79,12.788,12.789,12.787,12.789,12.789,12.789,12.79,12.789,12.791,12.791,12.79,12.792,12.792,12.792,12.791,12.792,12.793,22.36,264.37,75.547,75.577,29.831,6.5227,6.5205,0.0022,311.62,6.362,75.585
28,1,5,5,19,9,3.7195,75.544,75.546,75.558,13.646,13.624,13.612,13.606,13.604,13.604,13.604,13.603,13.6,13.6,13.6,13.605,13.603,13.604,13.605,13.605,13.606,13.606,13.605,13.604,13.605,21.598,264.23,75.567,75.56,7.0953,6.6697,6.6676,0.0021,311.6,6.5082,75.594
29,1,5,5,20,9,3.861,75.559,75.574,75.561,14.048,14.009,13.998,13.992,13.989,13.987,13.989,13.988,13.988,13.988,13.987,14.01,14.012,13.99,13.991,13.99,13.989,13.994,13.991,13.991,13.991,39.155,264.48,75.551,75.594,43.259,6.9158,6.9158,0,311.76,6.7576,75.609
30,1,5,5,21,9,3.818,75.589,75.601,75.591,13.534,13.51,13.5,13.495,13.491,13.488,13.485,13.486,13.486,13.487,13.488,13.487,13.487,13.487,13.487,13.488,13.488,13.489,13.488,13.49,13.492,24.143,264.65,75.591,75.641,50.659,6.6077,6.6055,0.0023,312.02,6.4472,75.645
31,1,5,5,22,9,3.7436,75.628,75.626,75.626,22.164,22.102,22.159,22.215,22.171,22.178,22.197,22.076,21.994,22.136,22.113,22.218,22.167,22.186,22.077,22.102,22.12,22.106,22.133,22.154,22.081,62.813,264.67,75.608,75.646,37.689,9.5459,9.5294,0.0165,312.17,9.4246,75.672
32,1,5,5,23,9,3.7207,75.626,75.615,75.622,15.974,15.953,15.938,15.931,15.928,15.927,15.928,15.928,15.928,15.923,15.923,15.925,15.925,15.929,15.925,15.923,15.922,15.93,15.93,15.93,15.934,21.217,264.83,75.599,75.677,78.14,7.2474,7.246,0.0014,312.32,7.0889,75.672
33,1,5,5,24,9,3.766,75.447,75.449,75.448,12.405,12.381,12.369,12.365,12.363,12.361,12.361,12.361,12.361,12.362,12.363,12.362,12.363,12.363,12.364,12.362,12.362,12.363,12.365,12.365,12.365,23.725,264.95,75.445,75.431,13.657,6.3698,6.3679,0.002,312.45,6.2126,75.561
34,1,5,5,25,9,3.8223,74.998,74.998,75.006,12.701,12.679,12.669,12.664,12.662,12.66,12.66,12.66,12.66,12.663,12.662,12.662,12.662,12.663,12.663,12.662,12.663,12.663,12.665,12.665,12.673,21.607,265.1,74.893,74.817,76.675,6.4929,6.4902,0.0028,312.46,6.3367,75.156
35,1,17,37,26,9,3.7757,73.905,73.909,73.91,11.731,11.774,11.744,11.787,11.672,11.781,11.732,11.706,11.698,11.734,11.63,11.753,11.668,11.716,11.672,11.632,11.631,11.772,11.649,11.703,11.672,42.582,265.16,73.759,73.628,130.78,6.4351,6.4328,0.0023,312.61,6.2783,74.126
36,1,5,6,27,9,3.8024,70.844,70.849,70.852,97.494,74.007,84.293,95.671,94.566,100.01,10.492,69.732,21.746,62.458,75.182,90.909,73.752,54.999,92.802,100.01,17.015,10.482,100.01,41.481,100.01,23487.36,264.8,70.7,70.38,320.07,6.6509,6.6476,0.0033,312.14,6.4917,71.201
37,1,5,11,28,10,3.8167,72.222,72.23,72.23,44.437,22.147,77.109,11,71.778,93.446,11.005,39.809,10.996,10.993,10.991,10.99,11.093,22.47,11.162,77.019,45.783,11.001,11.114,53.162,10.997,22289.96,264.95,72.063,71.812,251.72,6.5646,6.5621,0.0024,312.27,6.408,72.539
38,1,5,5,27,10,3.755,74.555,74.561,74.563,12.077,12.056,12.108,12.039,12.037,12.066,12.06,12.038,12.039,12.037,12.039,12.04,12.039,12.039,12.038,12.04,12.04,12.04,12.04,12.04,12.04,21.256,264.79,74.425,74.327,97.809,6.4653,6.4628,0.0025,312.16,6.3099,74.731
39,1,5,5,26,10,3.7481,75.314,75.328,75.325,12.478,12.453,12.44,12.433,12.429,12.429,12.429,12.428,12.429,12.428,12.428,12.428,12.43,12.43,12.43,12.43,12.429,12.432,12.431,12.43,12.43,24.92,264.85,75.239,75.194,45.166,6.4152,6.4132,0.0019,312.32,6.2607,75.423
40,1,5,5,25,10,3.7098,75.54,75.543,75.543,16.305,16.344,16.328,16.321,16.32,16.322,16.345,16.289,16.259,16.311,16.266,16.258,16.261,16.254,16.255,16.26,16.261,16.261,16.288,16.258,16.262,38.755,264.73,75.518,75.522,4.0436,7.3165,7.3244,0.0079,312.08,7.1592,75.598
41,1,5,5,24,10,3.7243,75.508,75.511,75.509,12.738,12.715,12.704,12.697,12.695,12.693,12.693,12.695,12.695,12.694,12.694,12.695,12.695,12.696,12.697,12.697,12.696,12.697,12.697,12.698,12.697,23.409,264.55,75.476,75.473,3.0518,6.4433,6.4404,0.0029,311.91,6.2894,75.564
42,1,5,5,23,10,3.7123,75.417,75.423,75.424,15.242,15.21,15.202,15.196,15.194,15.19,15.196,15.201,15.202,15.198,15.2,15.196,15.196,15.2,15.195,15.201,15.198,15.198,15.196,15.198,15.198,32.47,264.43,75.383,75.39,6.7902,7.1418,7.1418,0,311.73,6.9882,75.489
43,1,5,5,22,10,3.7615,75.327,75.33,75.333,30.986,30.958,30.962,30.954,30.958,30.97,30.933,30.934,30.919,30.914,30.905,30.906,30.915,30.931,30.922,30.908,30.922,30.942,30.95,30.955,30.976,28.14,264.46,75.296,75.307,11.139,10.001,10.001,0,311.82,12.648,75.4
44,1,5,5,21,10,3.7189,75.268,75.265,75.271,14.29,14.267,14.255,14.277,14.252,14.248,14.251,14.252,14.249,14.251,14.252,14.251,14.254,14.255,14.256,14.255,14.256,14.253,14.251,14.251,14.257,23.146,264.45,75.23,75.251,20.828,6.9527,6.951,0.0018,311.82,6.7961,75.338
45,1,5,5,20,10,3.6875,75.233,75.229,75.232,14.531,14.506,14.501,14.501,14.501,14.494,14.495,14.496,14.494,14.492,14.495,14.496,14.496,14.492,14.494,14.492,14.494,14.494,14.495,14.496,14.495,25.139,264.28,75.203,75.224,20.905,7.1174,7.1143,0.0031,311.64,6.9632,75.296
46,1,5,5,19,10,3.7451,75.22,75.222,75.218,17.56,17.541,17.532,17.526,17.52,17.52,17.525,17.521,17.517,17.518,17.529,17.529,17.528,17.525,17.528,17.529,17.527,17.525,17.521,17.526,17.528,18.796,264.18,75.186,75.21,23.499,7.8646,7.8623,0.0023,311.41,7.7096,75.285
47,1,5,5,18,10,3.6803,75.219,75.227,75.227,12.768,12.744,12.732,12.726,12.723,12.722,12.723,12.724,12.724,12.724,12.724,12.724,12.726,12.726,12.726,12.726,12.725,12.727,12.727,12.727,12.727,23.701,264.33,75.195,75.234,38.605,6.4875,6.486,0.0015,311.58,6.3349,75.293
48,1,5,5,17,10,3.7027,75.27,75.273,75.274,12.686,12.661,12.648,12.642,12.64,12.637,12.637,12.639,12.639,12.637,12.637,12.639,12.641,12.64,12.64,12.641,12.641,12.641,12.641,12.642,12.641,24.723,264.36,75.254,75.29,36.011,6.4662,6.4644,0.0019,311.64,6.3135,75.341
49,1,5,5,16,10,3.7291,75.331,75.335,75.328,12.704,12.681,12.67,12.665,12.662,12.661,12.661,12.662,12.661,12.661,12.661,12.664,12.664,12.662,12.662,12.663,12.663,12.664,12.665,12.665,12.665,23.103,264.35,75.302,75.334,32.12,6.4776,6.476,0.0016,311.58,6.3259,75.384
50,1,5,5,15,10,3.6825,75.375,75.376,75.388,12.776,12.751,12.739,12.732,12.729,12.726,12.726,12.726,12.726,12.727,12.727,12.728,12.727,12.727,12.728,12.728,12.728,12.728,12.729,12.73,12.729,24.891,264.22,75.382,75.409,26.703,6.5039,6.5017,0.0022,311.66,6.3511,75.428
51,1,5,5,14,10,3.7508,75.363,75.373,75.369,12.48,12.457,12.444,12.441,12.438,12.437,12.435,12.435,12.434,12.434,12.436,12.437,12.436,12.436,12.437,12.437,12.437,12.437,12.437,12.437,12.439,23.057,264.81,75.336,75.316,20.294,6.3855,6.3825,0.003,312.3,6.2346,75.436
52,1,5,5,13,10,3.6752,75.054,75.066,75.067,12.112,12.09,12.08,12.074,12.071,12.071,12.071,12.071,12.071,12.072,12.073,12.072,12.071,12.072,12.074,12.074,12.074,12.073,12.074,12.074,12.074,21.872,265.34,74.975,74.934,41.206,6.301,6.2989,0.0022,312.8,6.1516,75.179
53,1,5,5,12,10,3.7614,74.252,74.259,74.258,11.655,11.636,11.627,11.623,11.622,11.621,11.62,11.621,11.621,11.622,11.623,11.622,11.623,11.624,11.623,11.623,11.623,11.623,11.624,11.624,11.625,19.027,265.54,74.136,74.038,98.518,6.3009,6.2989,0.002,313.08,6.1515,74.434
54,1,5,13,11,10,3.866,71.873,71.881,71.883,70.566,11.103,10.983,61.944,52.044,11.179,10.98,92.515,10.993,10.981,11.075,10.977,20.528,11.088,11.301,10.979,10.978,10.978,10.978,85.017,11.09,59462.69,264.7,71.725,71.466,259.57,6.6368,6.6341,0.0027,312.01,6.4862,72.196
55,1,5,7,10,11,4.6943,72.089,72.098,72.101,18.157,90.117,18.171,18.034,18.022,18.013,50.64,18.029,100.01,89.124,18.164,18.032,98.271,18.163,90.397,61.409,18.053,39.973,61.27,93.09,79.287,71960.81,259.76,71.936,71.687,249.65,9.5165,9.5111,0.0055,306.79,9.4069,72.399
56,1,5,5,11,11,3.9521,74.448,74.451,74.457,11.765,11.737,11.728,11.725,11.723,11.722,11.722,11.722,11.722,11.722,11.721,11.722,11.723,11.725,11.723,11.724,11.725,11.725,11.725,11.724,11.725,27.941,265.59,74.335,74.246,89.188,6.2921,6.2898,0.0023,313.11,6.1418,74.619
