
Tester ID/Tester Station: 3381-P-XX-020B-001003/
Computer Name           : 3380P-ATE-1003
Handler/Prober Name     : (Temperature: 022.8 C)
Production ID           : 50A_550mV_4U
Test Program Name       : D:\Project\LLD\LLD_8_Site\LLDC_3380P_AOR09_260402\LLDC_3380P_AOR09_211206.pln
Device Name             :
Lot ID                  : NK13374
Wafer ID                : NK13374-01
Probe Card No           :
Load Board No           :
SFT                     :
OPERATOR                :
Test Start Date         : Fri May 08 11:52:52 2026
Test End Date           : Fri May 08 11:55:04 2026
Fail Retest Rate        : 0.000000 % (Gross:568, Sample:568)
Sequence All ON         : NO
PreLoad Pat(Time)       :
Craft Current User      : app
Craft Version           : CRAFT_3380_2.60-SP3
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO HistogramTDO
Run Card No             :
Rom Code                :
                                       


 Sample   Pass   Pass%   Fail   Fail%
   542   529    97.60%      13     2.40%

,,,,,,Contact(1),Contact(2),Contact(3),Contact(4),VZ0(5),VZ0(6),VZ0(7),IR0(8),DIR0(9),VF0(10),VZ1(11),VZ2(12),DVZ(13),IR2_1(14),IR2_1_1(15),DIR2_1(16),VF1(17),IR2_2(18),VZ3(19),
24,2,1,1,25,10,310.242,3.873,363.572,3.192,22.109,22.109,22.109,22.662,6.008,237.664,22.322,22.248,73.883,7.92,7.776,-144.375,283.085,7.754,22.566,
25,3,1,1,26,10,368.192,3.224,338.988,3.497,22.277,22.277,22.277,22.623,6.008,236.149,22.51,22.433,76.721,11.761,11.666,-95.053,281.583,11.656,22.753,
26,4,1,1,23,11,323.689,3.321,357.485,3.414,22.277,22.277,22.277,22.665,4.578,237.681,22.496,22.422,73.151,12.179,12.058,-121.577,283.115,12.041,22.735,
27,5,1,1,24,11,343.802,3.248,361.676,3.294,22.141,22.141,22.141,22.655,4.292,237.059,22.371,22.294,76.538,13.144,12.999,-145.766,282.494,12.976,22.618,
28,6,1,1,25,11,365.181,3.599,333.645,2.806,22.067,22.067,22.067,22.653,6.58,237.747,22.287,22.214,73.471,10.169,9.998,-171.145,283.182,9.968,22.534,
29,7,1,1,26,11,355.704,3.304,345.776,3.001,22.255,22.255,22.255,22.658,5.15,236.689,22.478,22.404,73.883,10.997,10.889,-108.046,282.123,10.878,22.719,
30,0,1,1,19,10,379.035,3.516,378.177,3.347,22.095,22.095,22.095,22.648,5.436,238.347,22.319,22.245,74.524,11.911,11.734,-176.721,283.79,11.698,22.561,
31,1,1,1,20,10,372.434,3.324,337.372,3.229,22.239,22.239,22.239,22.653,4.959,236.94,22.468,22.392,75.989,12.418,12.201,-217.269,282.368,12.167,22.716,
32,2,1,1,21,10,307.417,3.861,361.097,3.181,22.133,22.133,22.133,22.683,5.722,237.642,22.345,22.271,73.471,9.487,9.289,-197.747,283.061,9.255,22.588,
33,3,1,1,22,10,364.122,3.218,342.164,3.643,22.315,22.315,22.315,22.655,6.008,236.118,22.545,22.47,75.348,14.161,14.029,-131.45,281.539,14.017,22.785,
34,4,1,1,19,11,326.307,3.325,357.528,3.355,22.249,22.249,22.249,22.649,4.387,237.704,22.471,22.398,73.013,11.089,10.951,-138.44,283.139,10.926,22.713,
35,5,1,1,20,11,343.444,3.236,361.812,3.293,22.149,22.149,22.149,22.657,6.962,237.061,22.379,22.303,75.485,13.313,13.141,-172.335,282.493,13.117,22.626,
36,6,1,1,21,11,364.909,3.65,330.577,2.802,22.114,22.114,22.114,22.679,6.771,237.718,22.32,22.244,75.531,12.053,11.907,-146.462,283.148,11.881,22.561,
37,7,1,1,22,11,352.614,3.292,342.879,2.994,22.306,22.306,22.306,22.685,8.202,236.664,22.526,22.453,73.013,12.945,12.847,-97.409,282.096,12.837,22.765,
38,0,1,1,15,10,380.309,3.524,378.721,3.335,22.104,22.104,22.104,22.642,5.15,238.362,22.326,22.251,74.432,11.265,11.139,-125.425,283.802,11.113,22.564,
39,1,1,1,16,10,373.363,3.328,338.795,3.243,22.231,22.231,22.231,22.648,6.866,236.945,22.456,22.381,74.982,12.002,11.797,-204.142,282.373,11.755,22.702,
40,2,1,1,17,10,308.826,3.862,362.134,3.179,22.105,22.105,22.105,22.672,6.104,237.658,22.316,22.246,70.221,8.788,8.533,-254.811,283.071,8.469,22.56,
41,3,1,1,18,10,364.666,3.222,340.583,3.601,22.273,22.273,22.273,22.647,7.153,236.12,22.504,22.431,72.601,13.786,13.577,-209.135,281.539,13.535,22.746,
42,4,1,1,15,11,326.428,3.329,355.976,3.326,22.246,22.246,22.246,22.647,4.292,237.707,22.464,22.393,70.816,10.957,10.781,-176.127,283.139,10.739,22.704,
43,5,1,1,16,11,345.59,3.238,363.722,3.293,22.131,22.131,22.131,22.645,5.15,237.079,22.358,22.286,71.915,12.458,12.185,-273.278,282.513,12.119,22.605,
44,6,1,1,17,11,367.377,3.654,332.823,2.805,22.074,22.074,22.074,22.66,5.531,237.743,22.292,22.223,69.168,10.818,10.538,-280.1,283.173,10.462,22.539,
45,7,1,1,18,11,353.823,3.294,343.852,2.994,22.263,22.263,22.263,22.671,5.817,236.672,22.485,22.415,69.946,12.121,11.931,-189.938,282.103,11.893,22.727,
46,3,1,1,14,10,348.973,2.852,326.343,3.256,22.269,22.269,22.269,22.626,4.673,236.148,22.475,22.415,59.692,12.102,11.988,-113.611,281.6,11.971,22.686,
47,5,1,1,12,11,329.332,2.864,349.946,2.963,22.097,22.097,22.097,22.623,4.196,237.105,22.293,22.24,53.192,10.642,10.535,-107.485,282.575,10.512,22.497,
48,6,9,9,13,11,350.79,3.274,319.362,2.48,22.047,22.047,22.047,22.867,96.512,,,,,,,,,,,
49,7,1,1,14,11,336.585,2.925,329.118,2.67,22.253,22.253,22.253,22.656,5.15,236.688,22.444,22.39,54.108,10.961,10.854,-106.52,282.152,10.838,22.65,
50,2,1,1,11,12,297.396,3.49,353.179,2.849,22.101,22.101,22.101,22.627,3.91,238.147,22.297,22.239,58.411,5.265,5.148,-117.964,283.57,5.12,22.518,
51,3,1,1,12,12,351.298,2.846,326.75,3.208,22.26,22.26,22.26,22.614,4.005,236.175,22.478,22.415,62.668,11.121,11.001,-120.163,281.63,10.979,22.701,
52,6,1,1,11,13,355.353,3.291,322.988,2.479,22.072,22.072,22.072,22.621,3.719,238.216,22.279,22.218,60.287,7.618,7.477,-141.155,283.663,7.445,22.506,
53,7,1,1,12,13,339.417,2.923,331.95,2.67,22.239,22.239,22.239,22.643,4.578,236.716,22.448,22.388,59.83,9.901,9.763,-138.182,282.176,9.737,22.672,
54,0,1,1,13,12,380.323,3.504,380.373,3.354,22.083,22.083,22.083,22.631,6.58,238.364,22.308,22.235,73.471,10.563,10.416,-146.597,283.809,10.383,22.552,
55,1,1,1,14,12,373.192,3.304,337.601,3.197,22.23,22.23,22.23,22.634,5.531,236.957,22.459,22.384,74.432,11.115,10.895,-219.816,282.378,10.851,22.708,
56,2,1,1,15,12,311.351,3.837,364.974,3.158,22.123,22.123,22.123,22.65,5.627,237.694,22.334,22.264,70.175,7.128,6.921,-206.801,283.111,6.873,22.579,
57,3,1,1,16,12,367.527,3.196,344.095,3.589,22.296,22.296,22.296,22.627,3.719,236.159,22.525,22.452,72.464,12.159,12.003,-155.898,281.576,11.976,22.767,
58,4,1,1,13,13,326.965,3.306,359.151,3.359,22.239,22.239,22.239,22.631,4.005,237.719,22.448,22.375,72.693,9.827,9.651,-176.071,283.157,9.609,22.69,
59,5,1,1,14,13,344.946,3.213,363.235,3.272,22.134,22.134,22.134,22.634,4.292,237.087,22.365,22.292,72.968,11.659,11.453,-206.341,282.519,11.411,22.614,
60,6,1,1,15,13,372.112,3.637,337.436,2.783,22.09,22.09,22.09,22.63,4.673,237.793,22.309,22.238,70.496,8.377,8.189,-188.424,283.233,8.146,22.556,
61,7,1,1,16,13,356.777,3.266,347.135,2.972,22.29,22.29,22.29,22.65,5.341,236.722,22.511,22.442,69.489,10.455,10.289,-165.951,282.138,10.261,22.754,
62,0,1,1,17,12,379.729,3.511,379.307,3.351,22.116,22.116,22.116,22.642,7.153,238.354,22.339,22.265,73.471,11.395,11.241,-153.968,283.797,11.204,22.576,
63,1,1,1,18,12,373.592,3.304,338.681,3.214,22.248,22.248,22.248,22.637,9.155,236.962,22.477,22.403,74.112,11.355,11.128,-227.042,282.382,11.078,22.725,
64,2,1,1,19,12,310.428,3.847,363.929,3.167,22.135,22.135,22.135,22.66,6.294,237.682,22.349,22.279,70.313,8.02,7.777,-242.817,283.104,7.717,22.593,
65,3,1,1,20,12,364.344,3.202,342.987,3.645,22.319,22.319,22.319,22.649,6.199,236.13,22.55,22.477,72.51,13.898,13.717,-180.862,281.549,13.687,22.79,
66,4,1,1,17,13,327.566,3.311,359.53,3.36,22.275,22.275,22.275,22.636,7.343,237.724,22.496,22.425,71.136,10.158,9.989,-168.733,283.163,9.95,22.735,
67,5,1,1,18,13,347.114,3.221,365.474,3.279,22.155,22.155,22.155,22.626,8.678,237.107,22.388,22.315,72.647,11.168,10.932,-236.478,282.543,10.878,22.636,
68,6,1,1,19,13,369.88,3.639,335.727,2.792,22.101,22.101,22.101,22.643,9.155,237.768,22.323,22.252,70.77,9.567,9.327,-239.776,283.215,9.266,22.57,
69,7,1,1,20,13,353.043,3.28,343.323,2.981,22.305,22.305,22.305,22.677,5.436,236.676,22.529,22.459,70.221,12.658,12.468,-189.837,282.109,12.435,22.77,
70,0,1,1,21,12,375.109,3.504,373.521,3.321,22.149,22.149,22.149,22.674,7.629,238.321,22.372,22.298,74.112,13.86,13.696,-164.021,283.753,13.665,22.608,
71,1,1,1,22,12,370.202,3.304,335.72,3.224,22.287,22.287,22.287,22.665,6.008,236.927,22.514,22.438,75.851,13.351,13.17,-180.188,282.35,13.142,22.759,
72,2,1,1,23,12,308.383,3.847,361.733,3.163,22.161,22.161,22.161,22.674,6.58,237.66,22.373,22.3,73.38,8.843,8.701,-142.412,283.081,8.674,22.614,
73,3,1,1,24,12,365.582,3.206,344.46,3.652,22.308,22.308,22.308,22.64,6.39,236.135,22.54,22.465,75.119,13.111,12.999,-111.894,281.56,12.984,22.779,
74,4,1,1,21,13,320.477,3.305,352.664,3.359,22.303,22.303,22.303,22.685,4.387,237.657,22.523,22.452,71.457,13.965,13.759,-206.487,283.094,13.712,22.763,
75,5,1,1,22,13,341.62,3.217,360.017,3.278,22.19,22.19,22.19,22.668,5.054,237.044,22.42,22.346,73.792,14.32,14.057,-262.171,282.487,14.005,22.667,
76,6,1,1,23,13,367.255,3.643,332.959,2.79,22.127,22.127,22.127,22.66,5.627,237.751,22.348,22.276,72.281,10.802,10.566,-236.074,283.187,10.516,22.594,
77,7,1,1,24,13,355.382,3.276,345.719,2.982,22.299,22.299,22.299,22.659,5.436,236.7,22.522,22.451,71.274,11.15,11.012,-138.765,282.131,10.991,22.763,
78,0,1,1,25,12,379.586,3.514,377.347,3.314,22.1,22.1,22.1,22.639,6.962,238.354,22.324,22.249,75.027,11.176,11.065,-110.144,283.796,11.042,22.564,
79,1,1,1,26,12,374.107,3.315,339.468,3.235,22.225,22.225,22.225,22.634,8.488,236.957,22.454,22.376,77.728,10.93,10.818,-111.894,282.391,10.799,22.702,
80,2,1,1,27,12,310.249,3.853,363.25,3.163,22.116,22.116,22.116,22.652,6.866,237.675,22.329,22.257,71.823,7.338,7.148,-190.073,283.094,7.111,22.574,
81,3,1,1,28,12,368.307,3.215,345.089,3.613,22.291,22.291,22.291,22.619,7.057,236.16,22.523,22.449,73.563,11.521,11.389,-131.787,281.592,11.37,22.766,
82,4,1,1,25,13,327.058,3.319,359.209,3.376,22.258,22.258,22.258,22.638,6.962,237.716,22.479,22.406,73.059,10.216,10.136,-80.524,283.148,10.12,22.721,
83,5,1,1,26,13,345.984,3.228,363.929,3.281,22.134,22.134,22.134,22.633,6.39,237.093,22.365,22.288,76.859,11.433,11.329,-103.165,282.535,11.312,22.611,
84,6,1,1,27,13,369.158,3.642,334.518,2.789,22.086,22.086,22.086,22.64,7.439,237.763,22.294,22.219,74.249,9.185,9.014,-171.347,283.206,8.983,22.537,
85,7,1,1,28,13,356.905,3.289,346.713,2.981,22.274,22.274,22.274,22.647,6.294,236.714,22.498,22.427,70.679,10.202,10.031,-171.112,282.149,10.007,22.741,
86,0,1,1,29,12,364.158,3.145,363.092,2.98,22.097,22.097,22.097,22.62,4.768,238.38,22.307,22.243,63.4,9.582,9.475,-106.778,283.818,9.45,22.527,
87,1,1,1,30,12,359.838,2.952,325.949,2.889,22.21,22.21,22.21,22.606,5.054,236.993,22.426,22.362,63.446,8.82,8.696,-123.439,282.425,8.671,22.651,
88,4,1,1,29,13,311.351,2.963,344.152,3.034,22.247,22.247,22.247,22.623,4.673,237.729,22.454,22.393,61.066,9.058,8.936,-121.431,283.161,8.907,22.675,
89,5,1,1,30,13,331.221,2.866,350.347,2.948,22.123,22.123,22.123,22.611,4.387,237.12,22.342,22.278,63.446,9.727,9.583,-143.926,282.56,9.553,22.571,
90,0,1,1,29,14,382.783,3.496,381.982,3.333,22.114,22.114,22.114,22.62,6.866,238.395,22.341,22.268,72.51,9.564,9.418,-145.138,283.834,9.386,22.58,
91,1,1,1,30,14,378.299,3.304,342.314,3.185,22.239,22.239,22.239,22.608,7.725,237.011,22.474,22.397,76.309,8.894,8.751,-142.782,282.434,8.726,22.723,
92,2,1,1,31,14,315.077,3.845,368.607,3.167,22.114,22.114,22.114,22.624,7.248,237.732,22.334,22.262,72.052,5.003,4.865,-138.361,283.148,4.838,22.582,
93,4,1,1,29,15,330.462,3.304,362.806,3.363,22.256,22.256,22.256,22.619,4.578,237.756,22.479,22.408,71.228,8.721,8.576,-145.273,283.184,8.543,22.72,
94,5,1,1,30,15,351.248,3.217,369.594,3.277,22.134,22.134,22.134,22.606,5.627,237.151,22.37,22.296,74.295,9.268,9.096,-171.684,282.58,9.063,22.62,
95,6,1,1,31,15,372.412,3.588,340.462,2.793,22.069,22.069,22.069,22.611,6.294,237.823,22.297,22.224,72.189,6.747,6.602,-145.228,283.263,6.574,22.547,
96,7,1,1,32,15,362.585,3.284,352.957,2.99,22.248,22.248,22.248,22.618,6.008,236.767,22.483,22.411,71.869,7.796,7.696,-100.282,282.218,7.682,22.73,
97,0,1,1,25,14,380.058,3.492,378.556,3.312,22.124,22.124,22.124,22.633,5.722,238.372,22.348,22.276,72.144,10.753,10.599,-154.574,283.813,10.564,22.588,
98,1,1,1,26,14,374.229,3.292,339.639,3.21,22.25,22.25,22.25,22.628,8.202,236.973,22.479,22.405,73.792,10.658,10.444,-213.545,282.396,10.402,22.727,
99,2,1,1,27,14,310.657,3.831,364.351,3.156,22.133,22.133,22.133,22.648,7.82,237.694,22.345,22.274,70.587,6.962,6.783,-178.943,283.113,6.745,22.587,
100,3,1,1,28,14,367.956,3.192,347.242,3.645,22.299,22.299,22.299,22.62,7.82,236.165,22.531,22.458,72.098,11.565,11.427,-138.485,281.593,11.406,22.772,
101,4,1,1,25,15,327.051,3.295,359.459,3.353,22.266,22.266,22.266,22.633,7.057,237.726,22.489,22.418,70.404,10.01,9.841,-169.07,283.164,9.8,22.731,
102,5,1,1,26,15,346.577,3.206,365.052,3.269,22.154,22.154,22.154,22.626,7.248,237.105,22.385,22.313,72.647,11.076,10.848,-228.422,282.542,10.797,22.635,
103,6,1,1,27,15,369.265,3.603,336.127,2.781,22.098,22.098,22.098,22.634,6.676,237.78,22.318,22.247,70.404,8.691,8.479,-211.996,283.222,8.429,22.563,
104,7,1,1,28,15,356.905,3.263,347.414,2.97,22.282,22.282,22.282,22.646,6.199,236.724,22.504,22.434,69.809,10.04,9.889,-151.118,282.151,9.864,22.745,
105,0,1,1,21,14,372.913,3.501,370.831,3.308,22.16,22.16,22.16,22.691,6.294,238.298,22.382,22.309,73.196,15.182,15.039,-142.939,283.74,15.016,22.619,
106,1,1,1,22,14,369.473,3.304,333.731,3.196,22.296,22.296,22.296,22.67,7.439,236.917,22.523,22.447,75.577,13.795,13.612,-182.724,282.339,13.589,22.768,
107,2,1,1,23,14,309.083,3.841,362.842,3.165,22.176,22.176,22.176,22.67,8.106,237.669,22.387,22.316,71.548,8.581,8.419,-162.27,283.088,8.393,22.629,
108,3,1,1,24,14,367.162,3.202,344.017,3.612,22.327,22.327,22.327,22.632,7.725,236.152,22.558,22.484,73.975,12.539,12.425,-114.048,281.577,12.415,22.798,
109,4,1,1,21,15,320.499,3.313,352.442,3.364,22.299,22.299,22.299,22.686,5.15,237.653,22.506,22.432,73.654,14.141,13.983,-158.209,283.089,13.958,22.742,
110,5,1,1,22,15,341.871,3.217,360.045,3.276,22.184,22.184,22.184,22.666,6.485,237.053,22.415,22.339,75.348,14.164,13.971,-192.934,282.489,13.944,22.659,
111,6,1,1,23,15,369.244,3.644,334.754,2.792,22.124,22.124,22.124,22.651,7.153,237.768,22.344,22.272,72.739,10.1,9.917,-183.857,283.204,9.885,22.59,
112,7,1,1,24,15,356.534,3.277,346.799,2.981,22.296,22.296,22.296,22.654,5.817,236.711,22.519,22.448,70.816,10.782,10.656,-125.649,282.14,10.642,22.759,
113,0,1,1,17,14,382.39,3.479,379.887,3.28,22.137,22.137,22.137,22.62,5.531,238.403,22.361,22.287,74.112,9.675,9.593,-81.163,283.841,9.583,22.599,
114,1,1,1,18,14,376.003,3.284,341.105,3.195,22.264,22.264,22.264,22.621,5.817,236.993,22.494,22.418,76.309,10.011,9.893,-117.616,282.414,9.881,22.74,
115,2,1,1,19,14,311.186,3.822,365.124,3.15,22.149,22.149,22.149,22.648,5.436,237.702,22.363,22.291,72.693,6.959,6.834,-124.909,283.12,6.815,22.605,
116,3,1,1,20,14,362.806,3.181,342.121,3.634,22.331,22.331,22.331,22.653,6.485,236.123,22.562,22.489,73.425,14.233,14.116,-116.64,281.546,14.106,22.801,
117,4,1,1,17,15,330.076,3.293,362.599,3.355,22.277,22.277,22.277,22.618,5.531,237.76,22.5,22.428,72.006,8.777,8.685,-91.407,283.196,8.67,22.738,
118,5,1,1,18,15,349.145,3.203,367.413,3.259,22.158,22.158,22.158,22.615,5.722,237.135,22.392,22.317,75.623,10.129,10.006,-123.394,282.573,9.989,22.638,
119,6,1,1,19,15,370.574,3.584,337.958,2.771,22.104,22.104,22.104,22.626,7.915,237.806,22.326,22.253,72.464,8.181,8.042,-139.034,283.248,8.018,22.57,
120,7,1,1,20,15,352.693,3.26,342.922,2.961,22.303,22.303,22.303,22.673,6.58,236.68,22.526,22.455,70.816,12.37,12.242,-127.983,282.113,12.228,22.765,
121,0,1,1,13,14,381.732,3.514,380.065,3.328,22.099,22.099,22.099,22.626,3.529,238.379,22.309,22.241,68.115,10.089,10.006,-82.712,283.819,9.992,22.536,
122,1,1,1,14,14,376.003,3.31,341.07,3.217,22.248,22.248,22.248,22.623,6.104,236.971,22.461,22.392,69.534,10.136,10.017,-118.345,282.4,10.001,22.693,
123,2,1,1,15,14,315.356,3.849,368.865,3.168,22.148,22.148,22.148,22.633,6.008,237.736,22.339,22.276,62.988,5.745,5.638,-106.991,283.14,5.62,22.56,
124,3,9,9,16,14,369.902,3.258,347.714,3.732,22.247,22.247,22.247,23.416,897.884,,,,,,,,,,,
125,4,1,1,13,15,328.603,3.324,360.646,3.376,22.25,22.25,22.25,22.628,4.673,237.734,22.458,22.393,65.689,9.5,9.412,-88.277,283.163,9.396,22.685,
126,5,1,1,14,15,348.651,3.224,367.148,3.286,22.155,22.155,22.155,22.619,6.866,237.115,22.371,22.303,67.612,10.395,10.243,-152.139,282.555,10.22,22.604,
127,6,1,1,15,15,376.718,3.681,340.755,2.794,22.112,22.112,22.112,22.618,7.439,237.824,22.311,22.249,61.981,7.389,7.278,-110.884,283.258,7.256,22.535,
128,7,9,9,16,15,359.874,3.279,350.44,2.988,22.29,22.29,22.29,23.427,1101,,,,,,,,,,,
129,1,1,1,10,14,380.516,3.329,345.397,3.235,22.262,22.262,22.262,22.614,3.815,237.018,22.496,22.419,76.538,8.866,8.709,-157.581,282.428,8.678,22.747,
130,2,1,1,11,14,315.228,3.863,368.6,3.18,22.127,22.127,22.127,22.633,5.341,237.726,22.345,22.271,74.249,5.628,5.515,-112.455,283.126,5.498,22.59,
131,3,1,1,12,14,369.544,3.221,347.471,3.652,22.277,22.277,22.277,22.616,4.196,236.161,22.513,22.437,75.806,11.287,11.184,-103.367,281.571,11.175,22.756,
132,4,1,1,9,15,334.747,3.339,366.955,3.392,22.275,22.275,22.275,22.604,3.242,237.785,22.502,22.429,72.968,7.45,7.351,-99.238,283.223,7.33,22.745,
133,5,1,1,10,15,352.371,3.24,370.603,3.295,22.16,22.16,22.16,22.607,3.147,237.145,22.395,22.318,77.179,9.247,9.136,-110.985,282.573,9.119,22.644,
134,6,1,1,11,15,375.423,3.688,339.689,2.803,22.085,22.085,22.085,22.621,2.956,237.805,22.309,22.236,73.837,7.51,7.393,-116.92,283.235,7.374,22.557,
135,7,1,1,12,15,358.508,3.291,348.701,2.99,22.263,22.263,22.263,22.641,4.864,236.722,22.489,22.416,72.922,9.646,9.567,-79.637,282.136,9.558,22.731,
136,2,1,1,9,16,305.007,3.61,359.967,2.955,22.144,22.144,22.144,22.622,3.338,238.156,22.349,22.283,66.742,4.68,4.562,-117.773,283.588,4.54,22.581,
137,3,1,1,10,16,360.475,2.971,340.004,3.419,22.302,22.302,22.302,22.602,3.433,236.211,22.528,22.46,67.291,9.994,9.906,-88.826,281.68,9.896,22.758,
138,5,1,1,8,17,344.024,2.989,363.908,3.07,22.138,22.138,22.138,22.583,2.956,237.203,22.363,22.298,65.277,7.412,7.317,-95.154,282.694,7.301,22.595,
