
Tester ID/Tester Station: 3381-P-XX-020B-001003/
Computer Name           : 3380P-ATE-1003
Handler/Prober Name     : (Temperature: 022.8 C)
Production ID           : 50A_550mV_4U
Test Program Name       : D:\Project\LLD\LLD_8_Site\LLDC_3380P_AOR09_260402\LLDC_3380P_AOR09_211206.pln
Device Name             :
Lot ID                  : NK13374
Wafer ID                : NK13374-02
Probe Card No           :
Load Board No           :
SFT                     :
OPERATOR                :
Test Start Date         : Fri May 08 11:55:42 2026
Test End Date           : Fri May 08 11:57:59 2026
Fail Retest Rate        : 0.000000 % (Gross:568, Sample:568)
Sequence All ON         : NO
PreLoad Pat(Time)       :
Craft Current User      : app
Craft Version           : CRAFT_3380_2.60-SP3
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO HistogramTDO
Run Card No             :
Rom Code                :
                                       


 Sample   Pass   Pass%   Fail   Fail%
   542   535    98.71%       7     1.29%

,,,,,,Contact(1),Contact(2),Contact(3),Contact(4),VZ0(5),VZ0(6),VZ0(7),IR0(8),DIR0(9),VF0(10),VZ1(11),VZ2(12),DVZ(13),IR2_1(14),IR2_1_1(15),DIR2_1(16),VF1(17),IR2_2(18),VZ3(19),
24,2,1,1,25,10,305.779,3.847,359.702,3.174,21.885,21.885,21.885,22.684,5.627,237.634,22.098,22.027,71.411,9.828,9.585,-242.267,283.05,9.535,22.341,
25,3,1,1,26,10,365.195,3.226,343.008,3.652,22.044,22.044,22.044,22.642,5.531,236.131,22.278,22.203,74.707,13.402,13.245,-156.436,281.549,13.221,22.518,
26,4,1,1,23,11,321.865,3.326,353.994,3.377,22.022,22.022,22.022,22.678,5.627,237.655,22.242,22.169,72.235,13.401,13.261,-140.426,283.092,13.238,22.479,
27,5,1,1,24,11,340.533,3.23,359.137,3.29,21.899,21.899,21.899,22.673,7.534,237.041,22.128,22.054,74.707,14.725,14.538,-186.303,282.468,14.504,22.374,
28,6,1,1,25,11,370.009,3.756,330.341,2.796,21.832,21.832,21.832,22.672,7.82,237.718,22.052,21.98,71.686,11.895,11.642,-252.914,283.153,11.584,22.297,
29,7,1,1,26,11,351.942,3.29,342.057,2.99,22.013,22.013,22.013,22.676,5.913,236.661,22.237,22.166,71.64,12.666,12.477,-189.321,282.097,12.447,22.478,
30,0,1,1,19,10,377.104,3.509,381.868,3.449,21.87,21.87,21.87,22.662,6.58,238.338,22.095,22.022,72.739,13.049,12.849,-199.565,283.778,12.807,22.332,
31,1,1,1,20,10,370.839,3.313,336.885,3.242,21.993,21.993,21.993,22.661,7.725,236.929,22.223,22.148,75.302,13.182,12.928,-253.879,282.353,12.883,22.468,
32,2,1,1,21,10,305.321,3.846,359.187,3.171,21.879,21.879,21.879,22.691,6.58,237.633,22.092,22.021,71.136,10.298,10.067,-230.935,283.048,10.024,22.333,
33,3,1,1,22,10,362.585,3.219,337.808,3.582,22.057,22.057,22.057,22.664,6.676,236.105,22.29,22.214,75.348,15.042,14.891,-150.838,281.526,14.874,22.527,
34,4,1,1,19,11,324.519,3.333,357.113,3.393,22.014,22.014,22.014,22.664,6.104,237.684,22.237,22.166,71.091,12.382,12.216,-165.951,283.118,12.184,22.475,
35,5,1,1,20,11,342.093,3.225,360.811,3.289,21.891,21.891,21.891,22.662,5.817,237.051,22.123,22.049,73.883,13.935,13.723,-211.817,282.487,13.688,22.368,
36,6,1,1,21,11,371.633,3.798,329.826,2.796,21.846,21.846,21.846,22.68,6.199,237.713,22.054,21.98,74.341,12.344,12.172,-172.357,283.146,12.14,22.293,
37,7,1,1,22,11,350.275,3.286,340.497,2.987,22.038,22.038,22.038,22.695,6.485,236.645,22.26,22.188,71.823,13.948,13.839,-109.224,282.076,13.826,22.498,
38,0,1,1,15,10,380.623,3.515,384.049,3.433,21.844,21.844,21.844,22.641,4.387,238.365,22.067,21.993,74.295,11.334,11.239,-95.435,283.808,11.222,22.303,
39,1,1,1,16,10,373.17,3.318,339.053,3.244,21.984,21.984,21.984,22.65,5.627,236.947,22.212,22.136,76.309,12.215,12.07,-144.184,282.374,12.049,22.454,
40,2,1,1,17,10,307.324,3.852,361.032,3.173,21.883,21.883,21.883,22.682,6.39,237.65,22.094,22.023,70.908,9.544,9.364,-180.435,283.067,9.333,22.335,
41,3,1,1,18,10,364.344,3.223,341.113,3.627,22.058,22.058,22.058,22.654,6.294,236.117,22.29,22.215,75.027,14.302,14.163,-138.945,281.539,14.148,22.528,
42,4,1,1,15,11,328.031,3.333,363.264,3.45,21.985,21.985,21.985,22.642,3.815,237.719,22.207,22.134,72.372,10.602,10.486,-115.496,283.154,10.468,22.445,
43,5,1,1,16,11,345.197,3.23,364.008,3.296,21.88,21.88,21.88,22.647,5.531,237.081,22.111,22.036,74.203,12.694,12.502,-192.395,282.516,12.474,22.355,
44,6,1,1,17,11,371.69,3.751,332.05,2.799,21.842,21.842,21.842,22.668,6.294,237.732,22.062,21.99,72.006,11.422,11.226,-196.76,283.165,11.192,22.304,
45,7,1,1,18,11,352.306,3.284,342.65,2.991,22.037,22.037,22.037,22.682,7.534,236.665,22.26,22.188,72.235,12.951,12.828,-123.484,282.093,12.814,22.497,
46,3,1,1,14,10,348.294,2.85,325.284,3.256,22.017,22.017,22.017,22.634,5.436,236.142,22.232,22.168,63.309,12.768,12.667,-100.831,281.594,12.655,22.451,
47,5,1,1,12,11,329.604,2.854,350.819,2.966,21.878,21.878,21.878,22.626,4.292,237.111,22.083,22.027,56.717,10.984,10.835,-148.986,282.582,10.802,22.299,
48,6,1,1,13,11,356.698,3.389,319.283,2.474,21.823,21.823,21.823,22.644,4.482,238.176,22.024,21.964,60.196,9.483,9.355,-127.635,283.628,9.329,22.247,
49,7,1,1,14,11,336.149,2.913,328.832,2.664,22.001,22.001,22.001,22.66,3.815,236.686,22.207,22.147,59.784,11.337,11.242,-94.672,282.152,11.234,22.427,
50,2,1,1,11,12,297.782,3.476,354.638,2.86,21.873,21.873,21.873,22.628,3.91,238.154,22.067,22.008,59.143,5.359,5.264,-95.311,283.584,5.246,22.284,
51,3,1,1,12,12,351.956,2.851,331.972,3.316,22.042,22.042,22.042,22.619,4.101,236.177,22.259,22.195,63.446,11.545,11.451,-94.56,281.631,11.44,22.478,
52,6,1,1,11,13,360.725,3.381,324.268,2.487,21.855,21.855,21.855,22.623,3.815,238.221,22.058,21.997,61.386,7.744,7.637,-106.856,283.671,7.618,22.281,
53,7,1,1,12,13,339.668,2.92,332.866,2.678,22.028,22.028,22.028,22.648,3.91,236.718,22.236,22.176,60.791,10.286,10.186,-99.867,282.182,10.174,22.457,
54,0,1,1,13,12,380.752,3.507,388.327,3.516,21.856,21.856,21.856,22.636,4.959,238.371,22.082,22.007,75.165,10.94,10.845,-95.177,283.81,10.829,22.321,
55,1,1,1,14,12,374.129,3.311,339.575,3.228,21.976,21.976,21.976,22.636,6.294,236.957,22.208,22.13,77.499,11.239,11.099,-139.64,282.381,11.083,22.455,
56,2,1,1,15,12,311.794,3.843,365.646,3.169,21.858,21.858,21.858,22.652,4.292,237.7,22.072,22,72.556,7.32,7.2,-120.062,283.109,7.182,22.315,
57,3,1,1,16,12,368.156,3.217,344.002,3.596,22.034,22.034,22.034,22.633,6.104,236.154,22.268,22.193,75.211,12.672,12.583,-89.051,281.569,12.577,22.506,
58,4,1,1,13,13,329.082,3.338,362.234,3.414,22.006,22.006,22.006,22.636,3.719,237.728,22.216,22.141,74.982,10.129,10.017,-111.625,283.161,10.001,22.454,
59,5,1,1,14,13,346.892,3.231,365.367,3.289,21.873,21.873,21.873,22.632,6.104,237.096,22.106,22.031,75.439,11.503,11.386,-117.437,282.533,11.372,22.354,
60,6,1,1,15,13,372.577,3.661,336.864,2.794,21.817,21.817,21.817,22.638,7.629,237.783,22.04,21.966,73.654,9.048,8.937,-111.445,283.217,8.92,22.284,
61,7,1,1,16,13,357.542,3.286,347.614,2.985,22.018,22.018,22.018,22.654,5.627,236.717,22.243,22.171,71.915,10.818,10.717,-100.282,282.136,10.711,22.482,
62,0,1,1,17,12,378.792,3.504,385.101,3.48,21.867,21.867,21.867,22.65,4.387,238.353,22.091,22.017,73.883,12.073,11.951,-122.126,283.795,11.927,22.327,
63,1,1,1,18,12,372.298,3.309,338.073,3.231,22.007,22.007,22.007,22.65,5.627,236.943,22.236,22.16,75.714,12.378,12.192,-186.292,282.363,12.16,22.481,
64,2,1,1,19,12,308.905,3.842,362.921,3.17,21.891,21.891,21.891,22.671,4.387,237.67,22.105,22.033,71.32,8.824,8.621,-203.29,283.088,8.58,22.347,
65,3,1,1,20,12,364.602,3.214,341.513,3.616,22.049,22.049,22.049,22.652,6.866,236.125,22.285,22.211,74.844,14.264,14.111,-153.53,281.546,14.089,22.525,
66,4,1,1,17,13,328.481,3.334,362.756,3.428,22.016,22.016,22.016,22.642,6.485,237.726,22.238,22.166,71.686,10.703,10.559,-143.78,283.159,10.53,22.476,
67,5,1,1,18,13,344.725,3.223,363.686,3.289,21.905,21.905,21.905,22.646,7.153,237.081,22.137,22.063,73.929,12.71,12.494,-215.822,282.518,12.454,22.384,
68,6,1,1,19,13,371.904,3.714,334.06,2.795,21.846,21.846,21.846,22.656,6.294,237.757,22.069,21.997,71.32,10.64,10.43,-209.909,283.192,10.385,22.313,
69,7,1,1,20,13,352.478,3.28,342.972,2.987,22.029,22.029,22.029,22.681,6.199,236.669,22.255,22.184,71.457,13.044,12.886,-158.13,282.1,12.861,22.496,
70,0,1,1,21,12,374.959,3.503,384.564,3.546,21.869,21.869,21.869,22.671,5.722,238.317,22.094,22.021,72.739,13.851,13.682,-168.385,283.757,13.65,22.334,
71,1,1,1,22,12,369.222,3.304,334.532,3.216,22.01,22.01,22.01,22.669,5.531,236.917,22.239,22.163,75.851,13.839,13.654,-185.641,282.343,13.626,22.486,
72,2,1,1,23,12,305.815,3.837,359.516,3.157,21.899,21.899,21.899,22.687,4.482,237.639,22.11,22.039,71.136,9.949,9.798,-151.298,283.06,9.771,22.352,
73,3,1,1,24,12,363.121,3.215,340.19,3.622,22.052,22.052,22.052,22.66,6.294,236.112,22.282,22.207,74.982,14.767,14.653,-114.116,281.544,14.638,22.52,
74,4,1,1,21,13,322.402,3.311,356.691,3.413,22.018,22.018,22.018,22.671,7.057,237.669,22.242,22.171,70.679,13.063,12.869,-193.618,283.107,12.826,22.484,
75,5,1,1,22,13,340.991,3.22,359.437,3.277,21.913,21.913,21.913,22.669,6.676,237.043,22.145,22.071,73.471,14.627,14.369,-258.031,282.48,14.32,22.393,
76,6,1,1,23,13,371.211,3.75,331.378,2.784,21.858,21.858,21.858,22.668,6.199,237.733,22.078,22.007,71.228,11.6,11.351,-249.38,283.175,11.3,22.325,
77,7,1,1,24,13,351.884,3.278,341.921,2.977,22.033,22.033,22.033,22.682,4.482,236.662,22.255,22.184,71.32,13.095,12.933,-161.867,282.099,12.91,22.494,
78,0,1,1,25,12,375.717,3.504,380.323,3.438,21.85,21.85,21.85,22.662,6.294,238.329,22.074,21.999,74.799,13.06,12.931,-128.207,283.76,12.908,22.311,
79,1,1,1,26,12,369.966,3.307,335.848,3.235,21.974,21.974,21.974,22.656,6.676,236.92,22.204,22.125,78.461,12.765,12.656,-109.011,282.347,12.642,22.448,
80,2,1,1,27,12,307.131,3.842,360.997,3.17,21.862,21.862,21.862,22.668,5.531,237.65,22.075,22.003,72.372,8.563,8.416,-147.46,283.069,8.395,22.317,
81,3,1,1,28,12,365.932,3.221,342.507,3.623,22.041,22.041,22.041,22.635,5.341,236.133,22.274,22.199,74.707,12.819,12.723,-96.052,281.558,12.715,22.513,
82,4,1,1,25,13,323.231,3.316,356.691,3.395,21.993,21.993,21.993,22.661,4.005,237.677,22.215,22.142,73.151,12.112,12.026,-86.246,283.114,12.01,22.452,
83,5,1,1,26,13,342.057,3.223,360.618,3.286,21.868,21.868,21.868,22.654,4.482,237.049,22.1,22.024,76.309,13.231,13.129,-101.875,282.489,13.112,22.344,
84,6,1,1,27,13,370.567,3.738,331.736,2.797,21.819,21.819,21.819,22.657,6.866,237.735,22.029,21.953,75.485,10.596,10.457,-138.496,283.172,10.434,22.27,
85,7,1,1,28,13,353.544,3.284,343.859,2.987,22.016,22.016,22.016,22.664,6.104,236.677,22.241,22.169,71.915,11.647,11.521,-125.279,282.119,11.509,22.48,
86,0,1,1,29,12,361.19,3.132,370.424,3.181,21.863,21.863,21.863,22.635,3.719,238.362,22.049,21.995,53.833,10.816,10.748,-68.227,283.801,10.733,22.247,
87,1,9,9,30,12,355.811,2.938,322.08,2.876,21.987,21.987,21.987,23.421,607.204,,,,,,,,,,,
88,4,1,1,29,13,306.73,2.929,342.071,3.058,22.012,22.012,22.012,22.644,4.578,237.701,22.199,22.145,53.329,10.645,10.561,-83.306,283.138,10.545,22.401,
89,5,1,1,30,13,327.108,2.855,346.527,2.937,21.911,21.911,21.911,22.635,4.578,237.079,22.1,22.047,52.78,11.488,11.41,-78.414,282.523,11.4,22.299,
90,0,1,1,29,14,380.459,3.502,385.823,3.455,21.881,21.881,21.881,22.636,6.962,238.371,22.105,22.031,74.112,10.872,10.76,-111.961,283.806,10.744,22.343,
91,1,1,1,30,14,374.858,3.309,341.041,3.243,22.027,22.027,22.027,22.634,5.054,236.974,22.256,22.18,76.859,10.816,10.703,-113.05,282.399,10.69,22.502,
92,2,1,1,31,14,311.465,3.844,365.517,3.179,21.901,21.901,21.901,22.646,5.341,237.691,22.116,22.044,72.647,6.704,6.578,-126.199,283.114,6.558,22.36,
93,4,1,1,29,15,327.101,3.313,361.004,3.407,22.015,22.015,22.015,22.643,4.959,237.713,22.237,22.165,72.418,10.503,10.388,-115.036,283.149,10.371,22.477,
94,5,1,1,30,15,347.264,3.228,365.989,3.292,21.918,21.918,21.918,22.633,8.202,237.106,22.149,22.074,75.348,11.298,11.155,-142.513,282.547,11.136,22.396,
95,6,1,1,31,15,374.572,3.712,337.064,2.799,21.859,21.859,21.859,22.631,5.722,237.782,22.082,22.008,73.608,8.349,8.225,-123.944,283.223,8.205,22.328,
96,7,1,1,32,15,360.067,3.294,350.282,2.996,22.022,22.022,22.022,22.633,5.913,236.739,22.251,22.179,71.869,9.056,8.952,-103.58,282.184,8.938,22.495,
97,0,1,1,25,14,376.382,3.486,380.895,3.422,21.857,21.857,21.857,22.655,5.913,238.337,22.083,22.008,75.073,12.529,12.425,-103.894,283.772,12.411,22.321,
98,1,1,1,26,14,370.438,3.293,336.764,3.224,21.976,21.976,21.976,22.649,5.531,236.935,22.207,22.13,77.408,12.366,12.206,-159.926,282.358,12.19,22.454,
99,2,1,1,27,14,306.809,3.823,361.311,3.162,21.859,21.859,21.859,22.667,6.008,237.658,22.073,22,73.288,8.483,8.352,-130.889,283.071,8.333,22.315,
100,3,1,1,28,14,365.696,3.21,340.669,3.57,22.041,22.041,22.041,22.637,6.199,236.139,22.274,22.198,75.531,12.906,12.818,-87.727,281.565,12.811,22.513,
101,4,1,1,25,15,323.496,3.306,356.104,3.362,21.998,21.998,21.998,22.657,5.627,237.687,22.221,22.148,73.196,11.914,11.799,-114.116,283.118,11.784,22.461,
102,5,1,1,26,15,343.008,3.209,362.356,3.285,21.873,21.873,21.873,22.645,5.15,237.07,22.107,22.031,76.263,12.638,12.484,-154.204,282.508,12.464,22.354,
103,6,1,1,27,15,372.062,3.73,333.266,2.79,21.817,21.817,21.817,22.649,4.959,237.753,22.039,21.965,73.746,10.012,9.873,-139.326,283.188,9.85,22.283,
104,7,1,1,28,15,353.329,3.267,344.167,2.983,22.011,22.011,22.011,22.666,5.341,236.684,22.236,22.163,72.647,11.662,11.572,-90.117,282.122,11.562,22.474,
105,0,1,1,21,14,375.574,3.495,381.668,3.469,21.883,21.883,21.883,22.664,5.341,238.331,22.11,22.037,72.739,13.482,13.297,-184.194,283.764,13.254,22.35,
106,1,1,1,22,14,368.414,3.298,334.275,3.221,22.022,22.022,22.022,22.672,6.485,236.908,22.253,22.178,74.341,14.281,14.033,-247.619,282.329,13.983,22.498,
107,2,1,1,23,14,307.324,3.827,361.447,3.161,21.909,21.909,21.909,22.676,6.008,237.662,22.122,22.052,70.175,9.331,9.096,-234.739,283.077,9.041,22.364,
108,3,1,1,24,14,364.23,3.208,338.423,3.553,22.064,22.064,22.064,22.653,8.202,236.125,22.297,22.223,73.746,14.342,14.158,-184.16,281.55,14.126,22.535,
109,4,1,1,21,15,323.997,3.32,356.691,3.384,22.034,22.034,22.034,22.663,4.482,237.685,22.245,22.173,72.464,12.551,12.351,-199.587,283.119,12.306,22.483,
110,5,1,1,22,15,341.806,3.212,360.618,3.28,21.922,21.922,21.922,22.664,5.817,237.056,22.154,22.081,72.876,14.29,14.018,-271.954,282.493,13.96,22.402,
111,6,1,1,23,15,371.826,3.713,333.717,2.785,21.868,21.868,21.868,22.655,6.104,237.758,22.089,22.019,70.129,10.666,10.404,-262.35,283.195,10.34,22.335,
112,7,1,1,24,15,352.628,3.269,342.951,2.975,22.041,22.041,22.041,22.676,6.39,236.676,22.265,22.195,69.855,12.738,12.533,-204.703,282.109,12.496,22.505,
113,0,1,1,17,14,380.402,3.486,385.83,3.445,21.88,21.88,21.88,22.638,6.294,238.377,22.105,22.033,72.327,11.252,11.098,-153.889,283.812,11.065,22.343,
114,1,1,1,18,14,374.386,3.294,340.319,3.219,22.016,22.016,22.016,22.637,8.202,236.973,22.246,22.173,73.7,11.477,11.263,-213.23,282.396,11.222,22.493,
115,2,1,1,19,14,309.72,3.826,363.736,3.156,21.899,21.899,21.899,22.662,8.011,237.686,22.114,22.044,69.809,8.294,8.066,-227.838,283.102,8.013,22.358,
116,3,1,1,20,14,364.888,3.209,338.924,3.553,22.06,22.06,22.06,22.649,8.583,236.134,22.297,22.224,72.739,14.185,13.99,-194.729,281.553,13.957,22.538,
117,4,1,1,17,15,328.438,3.307,362.213,3.394,22.025,22.025,22.025,22.635,4.387,237.734,22.249,22.179,69.992,10.274,10.1,-173.4,283.174,10.061,22.489,
118,5,1,1,18,15,347.714,3.212,366.547,3.275,21.916,21.916,21.916,22.629,4.292,237.12,22.15,22.077,73.288,11.491,11.266,-224.652,282.554,11.218,22.398,
119,6,1,1,19,15,376.41,3.721,337.787,2.784,21.86,21.86,21.86,22.634,5.054,237.798,22.083,22.013,70.129,9.021,8.785,-235.86,283.241,8.725,22.33,
120,7,1,1,20,15,354.924,3.27,345.232,2.973,22.044,22.044,22.044,22.663,5.054,236.702,22.271,22.202,69.305,11.824,11.623,-200.967,282.133,11.583,22.513,
121,0,1,1,13,14,380.988,3.493,388.169,3.449,21.86,21.86,21.86,22.631,7.343,238.384,22.088,22.014,73.929,10.596,10.48,-116.359,283.821,10.459,22.329,
122,1,1,1,14,14,375.259,3.299,341.141,3.222,21.983,21.983,21.983,22.627,9.346,236.985,22.216,22.141,75.851,10.666,10.484,-181.4,282.401,10.452,22.465,
123,2,1,1,15,14,312.366,3.829,366.333,3.153,21.875,21.875,21.875,22.645,8.011,237.717,22.09,22.021,69.443,6.958,6.747,-211.368,283.124,6.698,22.335,
124,3,1,1,16,14,369,3.205,344.596,3.579,22.055,22.055,22.055,22.626,5.722,236.168,22.289,22.217,72.098,12.279,12.117,-161.193,281.586,12.088,22.53,
125,4,1,1,13,15,327.394,3.292,362.42,3.404,22,22,22,22.633,5.15,237.735,22.225,22.154,71.869,9.964,9.85,-114.273,283.163,9.827,22.466,
126,5,1,1,14,15,348.108,3.211,367.048,3.279,21.884,21.884,21.884,22.622,4.864,237.123,22.119,22.046,72.876,10.868,10.653,-214.812,282.555,10.608,22.369,
127,6,1,1,15,15,374.522,3.642,339.389,2.783,21.839,21.839,21.839,22.625,4.578,237.818,22.063,21.993,70.038,8.198,7.986,-211.188,283.249,7.932,22.31,
128,7,1,1,16,15,358.2,3.268,348.587,2.972,22.034,22.034,22.034,22.646,5.245,236.733,22.259,22.19,68.298,10.388,10.202,-185.361,282.15,10.165,22.501,
129,1,1,1,10,14,380.852,3.321,346.684,3.243,22.03,22.03,22.03,22.607,6.962,237.025,22.26,22.186,73.837,8.858,8.679,-179.122,282.44,8.636,22.508,
130,2,1,1,11,14,314.984,3.842,369.122,3.174,21.917,21.917,21.917,22.637,6.199,237.731,22.132,22.061,71.457,6.03,5.87,-160.632,283.136,5.837,22.375,
131,3,1,1,12,14,370.867,3.227,344.946,3.571,22.064,22.064,22.064,22.62,5.15,236.175,22.299,22.225,73.7,11.687,11.529,-157.244,281.59,11.506,22.541,
132,4,1,1,9,15,336.928,3.346,371.811,3.453,22.024,22.024,22.024,22.598,4.196,237.798,22.248,22.177,70.999,7.105,6.997,-108.091,283.237,6.971,22.49,
133,5,1,1,10,15,352.242,3.227,371.332,3.299,21.93,21.93,21.93,22.609,4.005,237.154,22.162,22.088,73.792,9.497,9.344,-153.003,282.578,9.316,22.41,
134,6,1,1,11,15,376.861,3.696,340.24,2.8,21.868,21.868,21.868,22.627,4.673,237.813,22.09,22.018,71.915,7.959,7.784,-175.173,283.243,7.749,22.335,
135,7,1,1,12,15,358.686,3.281,349.209,2.99,22.035,22.035,22.035,22.646,4.578,236.728,22.261,22.189,71.32,10.143,10.029,-114.183,282.147,10.014,22.502,
136,2,1,1,9,16,307.424,3.61,362.506,2.967,21.901,21.901,21.901,22.614,4.864,238.183,22.103,22.04,62.485,4.286,4.158,-128.006,283.61,4.13,22.333,
137,3,1,1,10,16,363.543,2.992,339.389,3.381,22.075,22.075,22.075,22.599,3.624,236.23,22.298,22.232,66.467,9.896,9.785,-110.536,281.691,9.769,22.526,
